time;location;status
0;GOOGLE-CLOUD;1
2;AZURE-CLOUD;1
5;GOOGLE-CLOUD;1
7;AZURE-CLOUD;1
10;AZURE-CLOUD;1
12;AZURE-CLOUD;1
15;AZURE-CLOUD;1
17;GOOGLE-CLOUD;1
19;GOOGLE-CLOUD;1
21;GOOGLE-CLOUD;1
24;GOOGLE-CLOUD;1
26;AZURE-CLOUD;1
28;GOOGLE-CLOUD;1
31;GOOGLE-CLOUD;1
33;GOOGLE-CLOUD;1
35;GOOGLE-CLOUD;1
37;AZURE-CLOUD;1
40;AZURE-CLOUD;1
42;AZURE-CLOUD;1
45;AZURE-CLOUD;1
47;AZURE-CLOUD;1
49;AZURE-CLOUD;1
51;AZURE-CLOUD;1
54;AZURE-CLOUD;1
56;GOOGLE-CLOUD;1
58;AZURE-CLOUD;1
61;GOOGLE-CLOUD;1
63;GOOGLE-CLOUD;1
66;GOOGLE-CLOUD;1
68;AZURE-CLOUD;1
70;GOOGLE-CLOUD;1
72;AZURE-CLOUD;1
75;GOOGLE-CLOUD;1
77;GOOGLE-CLOUD;1
79;GOOGLE-CLOUD;1
82;GOOGLE-CLOUD;1
84;GOOGLE-CLOUD;1
86;AZURE-CLOUD;1
88;GOOGLE-CLOUD;1
90;AZURE-CLOUD;1
93;GOOGLE-CLOUD;1
95;AZURE-CLOUD;1
97;AZURE-CLOUD;1
100;AZURE-CLOUD;1
102;GOOGLE-CLOUD;1
104;GOOGLE-CLOUD;1
107;GOOGLE-CLOUD;1
109;GOOGLE-CLOUD;1
111;AZURE-CLOUD;1
113;GOOGLE-CLOUD;1
116;AZURE-CLOUD;1
118;GOOGLE-CLOUD;1
120;AZURE-CLOUD;1
123;GOOGLE-CLOUD;1
125;AZURE-CLOUD;1
127;GOOGLE-CLOUD;1
129;AZURE-CLOUD;1
132;AZURE-CLOUD;1
134;AZURE-CLOUD;1
136;AZURE-CLOUD;1
139;AZURE-CLOUD;1
141;GOOGLE-CLOUD;1
143;GOOGLE-CLOUD;1
145;AZURE-CLOUD;1
148;AZURE-CLOUD;1
150;AZURE-CLOUD;1
152;AZURE-CLOUD;1
155;AZURE-CLOUD;1
157;GOOGLE-CLOUD;1
159;GOOGLE-CLOUD;1
161;GOOGLE-CLOUD;1
164;AZURE-CLOUD;1
166;GOOGLE-CLOUD;1
168;AZURE-CLOUD;1
171;GOOGLE-CLOUD;1
173;GOOGLE-CLOUD;1
175;AZURE-CLOUD;1
177;AZURE-CLOUD;1
180;GOOGLE-CLOUD;1
182;AZURE-CLOUD;1
